customer_id,product_name,sales_date,sales_person_id,price,quantity,total_cost,payment_mode
19,besan,2025-05-15,"[7, 8, 9]",52,9,468,UPI
1,dantkanti,2025-05-15,"[7, 8, 9]",100,10,1000,cash
17,maida,2025-05-15,"[4, 5, 6]",20,7,140,cash
1,clinic plus,2025-05-15,"[7, 8, 9]",1.5,2,3.0,cash
15,besan,2025-05-15,"[4, 5, 6]",52,10,520,UPI
7,refined oil,2025-05-15,"[7, 8, 9]",110,4,440,UPI
16,quaker oats,2025-05-15,"[4, 5, 6]",212,3,636,cash
4,maida,2025-05-15,"[4, 5, 6]",20,10,200,UPI
20,refined oil,2025-05-15,"[1, 2, 3]",110,10,1100,cash
9,nutrella,2025-05-15,"[7, 8, 9]",40,7,280,cash
9,dantkanti,2025-05-15,"[7, 8, 9]",100,3,300,UPI
14,refined oil,2025-05-15,"[4, 5, 6]",110,7,770,cash
9,sugar,2025-05-15,"[4, 5, 6]",50,8,400,cash
13,besan,2025-05-15,"[7, 8, 9]",52,9,468,UPI
20,refined oil,2025-05-15,"[4, 5, 6]",110,2,220,cash
9,quaker oats,2025-05-15,"[7, 8, 9]",212,1,212,UPI
6,nutrella,2025-05-15,"[1, 2, 3]",40,4,160,UPI
16,quaker oats,2025-05-15,"[1, 2, 3]",212,3,636,cash
16,clinic plus,2025-05-15,"[7, 8, 9]",1.5,5,7.5,UPI
13,clinic plus,2025-05-15,"[7, 8, 9]",1.5,8,12.0,cash
1,clinic plus,2025-05-15,"[7, 8, 9]",1.5,2,3.0,cash
13,dantkanti,2025-05-15,"[7, 8, 9]",100,10,1000,cash
1,nutrella,2025-05-15,"[4, 5, 6]",40,8,320,cash
14,maida,2025-05-15,"[1, 2, 3]",20,2,40,UPI
19,maida,2025-05-15,"[1, 2, 3]",20,9,180,UPI
9,maida,2025-05-15,"[4, 5, 6]",20,4,80,UPI
16,dantkanti,2025-05-15,"[7, 8, 9]",100,3,300,UPI
10,refined oil,2025-05-15,"[4, 5, 6]",110,8,880,UPI
15,dantkanti,2025-05-15,"[7, 8, 9]",100,7,700,cash
10,dantkanti,2025-05-15,"[1, 2, 3]",100,6,600,UPI
2,maida,2025-05-15,"[4, 5, 6]",20,9,180,cash
14,sugar,2025-05-15,"[4, 5, 6]",50,1,50,UPI
20,nutrella,2025-05-15,"[7, 8, 9]",40,9,360,cash
20,clinic plus,2025-05-15,"[1, 2, 3]",1.5,10,15.0,cash
17,besan,2025-05-15,"[1, 2, 3]",52,6,312,cash
19,quaker oats,2025-05-15,"[7, 8, 9]",212,1,212,UPI
17,sugar,2025-05-15,"[1, 2, 3]",50,10,500,cash
19,quaker oats,2025-05-15,"[1, 2, 3]",212,4,848,cash
16,maida,2025-05-15,"[1, 2, 3]",20,1,20,cash
1,besan,2025-05-15,"[4, 5, 6]",52,9,468,UPI
19,quaker oats,2025-05-15,"[4, 5, 6]",212,6,1272,cash
7,nutrella,2025-05-15,"[4, 5, 6]",40,8,320,cash
18,besan,2025-05-15,"[7, 8, 9]",52,4,208,UPI
18,sugar,2025-05-15,"[4, 5, 6]",50,4,200,UPI
16,quaker oats,2025-05-15,"[4, 5, 6]",212,5,1060,UPI
2,maida,2025-05-15,"[4, 5, 6]",20,9,180,cash
6,quaker oats,2025-05-15,"[4, 5, 6]",212,3,636,UPI
9,dantkanti,2025-05-15,"[7, 8, 9]",100,1,100,UPI
6,refined oil,2025-05-15,"[7, 8, 9]",110,8,880,cash
5,refined oil,2025-05-15,"[7, 8, 9]",110,7,770,cash
7,maida,2025-05-15,"[7, 8, 9]",20,6,120,UPI
2,dantkanti,2025-05-15,"[4, 5, 6]",100,7,700,UPI
12,dantkanti,2025-05-15,"[4, 5, 6]",100,1,100,cash
12,besan,2025-05-15,"[4, 5, 6]",52,6,312,cash
18,sugar,2025-05-15,"[1, 2, 3]",50,10,500,cash
18,besan,2025-05-15,"[1, 2, 3]",52,3,156,UPI
4,sugar,2025-05-15,"[7, 8, 9]",50,5,250,cash
2,sugar,2025-05-15,"[1, 2, 3]",50,1,50,UPI
13,dantkanti,2025-05-15,"[1, 2, 3]",100,5,500,UPI
20,refined oil,2025-05-15,"[7, 8, 9]",110,3,330,UPI
4,dantkanti,2025-05-15,"[7, 8, 9]",100,5,500,cash
16,clinic plus,2025-05-15,"[4, 5, 6]",1.5,7,10.5,cash
16,besan,2025-05-15,"[7, 8, 9]",52,7,364,UPI
16,besan,2025-05-15,"[7, 8, 9]",52,10,520,UPI
19,besan,2025-05-15,"[4, 5, 6]",52,9,468,UPI
13,sugar,2025-05-15,"[7, 8, 9]",50,9,450,UPI
17,besan,2025-05-15,"[7, 8, 9]",52,6,312,cash
6,quaker oats,2025-05-15,"[7, 8, 9]",212,3,636,cash
3,quaker oats,2025-05-15,"[4, 5, 6]",212,10,2120,UPI
9,sugar,2025-05-15,"[7, 8, 9]",50,9,450,UPI
2,maida,2025-05-15,"[4, 5, 6]",20,1,20,cash
17,besan,2025-05-15,"[1, 2, 3]",52,5,260,cash
18,refined oil,2025-05-15,"[7, 8, 9]",110,8,880,UPI
4,quaker oats,2025-05-15,"[4, 5, 6]",212,8,1696,cash
10,besan,2025-05-15,"[7, 8, 9]",52,5,260,UPI
4,quaker oats,2025-05-15,"[1, 2, 3]",212,10,2120,UPI
2,besan,2025-05-15,"[7, 8, 9]",52,10,520,UPI
19,maida,2025-05-15,"[1, 2, 3]",20,8,160,UPI
17,quaker oats,2025-05-15,"[1, 2, 3]",212,2,424,UPI
12,refined oil,2025-05-15,"[4, 5, 6]",110,8,880,cash
11,refined oil,2025-05-15,"[4, 5, 6]",110,3,330,UPI
1,quaker oats,2025-05-15,"[7, 8, 9]",212,8,1696,cash
5,dantkanti,2025-05-15,"[4, 5, 6]",100,2,200,UPI
15,besan,2025-05-15,"[4, 5, 6]",52,8,416,cash
5,quaker oats,2025-05-15,"[7, 8, 9]",212,8,1696,cash
14,besan,2025-05-15,"[1, 2, 3]",52,3,156,cash
3,sugar,2025-05-15,"[7, 8, 9]",50,6,300,cash
2,maida,2025-05-15,"[1, 2, 3]",20,2,40,cash
13,sugar,2025-05-15,"[1, 2, 3]",50,2,100,cash
4,maida,2025-05-15,"[7, 8, 9]",20,10,200,UPI
17,nutrella,2025-05-15,"[7, 8, 9]",40,3,120,UPI
12,sugar,2025-05-15,"[1, 2, 3]",50,2,100,UPI
5,refined oil,2025-05-15,"[7, 8, 9]",110,6,660,cash
2,nutrella,2025-05-15,"[1, 2, 3]",40,6,240,cash
6,maida,2025-05-15,"[4, 5, 6]",20,1,20,cash
20,clinic plus,2025-05-15,"[4, 5, 6]",1.5,10,15.0,cash
10,dantkanti,2025-05-15,"[1, 2, 3]",100,6,600,UPI
15,nutrella,2025-05-15,"[7, 8, 9]",40,5,200,UPI
15,clinic plus,2025-05-15,"[7, 8, 9]",1.5,5,7.5,cash
3,clinic plus,2025-05-15,"[1, 2, 3]",1.5,7,10.5,cash
17,dantkanti,2025-05-15,"[7, 8, 9]",100,8,800,UPI
10,quaker oats,2025-05-15,"[1, 2, 3]",212,5,1060,cash
7,dantkanti,2025-05-15,"[4, 5, 6]",100,8,800,UPI
1,besan,2025-05-15,"[1, 2, 3]",52,8,416,UPI
11,sugar,2025-05-15,"[1, 2, 3]",50,5,250,UPI
17,refined oil,2025-05-15,"[7, 8, 9]",110,4,440,cash
8,besan,2025-05-15,"[1, 2, 3]",52,1,52,UPI
6,nutrella,2025-05-15,"[4, 5, 6]",40,1,40,cash
19,clinic plus,2025-05-15,"[7, 8, 9]",1.5,1,1.5,cash
19,quaker oats,2025-05-15,"[1, 2, 3]",212,1,212,UPI
11,dantkanti,2025-05-15,"[7, 8, 9]",100,1,100,cash
19,clinic plus,2025-05-15,"[4, 5, 6]",1.5,7,10.5,UPI
15,sugar,2025-05-15,"[7, 8, 9]",50,4,200,UPI
13,dantkanti,2025-05-15,"[1, 2, 3]",100,3,300,cash
2,dantkanti,2025-05-15,"[7, 8, 9]",100,5,500,cash
8,besan,2025-05-15,"[7, 8, 9]",52,8,416,cash
11,quaker oats,2025-05-15,"[1, 2, 3]",212,1,212,UPI
10,maida,2025-05-15,"[1, 2, 3]",20,7,140,UPI
4,besan,2025-05-15,"[7, 8, 9]",52,1,52,UPI
11,clinic plus,2025-05-15,"[4, 5, 6]",1.5,6,9.0,UPI
17,besan,2025-05-15,"[4, 5, 6]",52,8,416,cash
8,besan,2025-05-15,"[7, 8, 9]",52,10,520,cash
14,quaker oats,2025-05-15,"[1, 2, 3]",212,5,1060,UPI
15,quaker oats,2025-05-15,"[1, 2, 3]",212,4,848,cash
4,sugar,2025-05-15,"[7, 8, 9]",50,7,350,cash
18,refined oil,2025-05-15,"[4, 5, 6]",110,2,220,UPI
1,maida,2025-05-15,"[7, 8, 9]",20,3,60,UPI
5,refined oil,2025-05-15,"[4, 5, 6]",110,9,990,cash
19,quaker oats,2025-05-15,"[4, 5, 6]",212,5,1060,UPI
16,maida,2025-05-15,"[7, 8, 9]",20,6,120,UPI
11,maida,2025-05-15,"[1, 2, 3]",20,10,200,UPI
1,quaker oats,2025-05-15,"[1, 2, 3]",212,5,1060,UPI
17,refined oil,2025-05-15,"[1, 2, 3]",110,3,330,cash
9,dantkanti,2025-05-15,"[7, 8, 9]",100,5,500,UPI
